Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Product Sales Channel 1,Variant Id
prod_01KAC0WW4X8221XR05Z3ZF0VAS,sweatshirt,Medusa Sweatshirt,draft,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,sc_01KAC0WRXWAQ0A00YJ6PRCPA8R,variant_01KAC0WW6RAPVGHDBQM69B2V04
prod_01KAC0WW4X8221XR05Z3ZF0VAS,sweatshirt,Medusa Sweatshirt,draft,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,sc_01KAC0WRXWAQ0A00YJ6PRCPA8R,variant_01KAC0WW6RKMQGJH8AP76SR6WB
prod_01KAC0WW4X8221XR05Z3ZF0VAS,sweatshirt,Medusa Sweatshirt,draft,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,sc_01KAC0WRXWAQ0A00YJ6PRCPA8R,variant_01KAC0WW6RR1CMQDNKB06CSRF3
prod_01KAC0WW4X8221XR05Z3ZF0VAS,sweatshirt,Medusa Sweatshirt,draft,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,sc_01KAC0WRXWAQ0A00YJ6PRCPA8R,variant_01KAC0WW6RX5H5XNQFJ8WKWVW0
prod_01KAC0WW4X868AA5P6RMB5APK8,t-shirt,Medusa T-Shirt,draft,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,sc_01KAC0WRXWAQ0A00YJ6PRCPA8R,variant_01KAC0WW6Q28JSBDYVT7XXGHAE
prod_01KAC0WW4X868AA5P6RMB5APK8,t-shirt,Medusa T-Shirt,draft,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,sc_01KAC0WRXWAQ0A00YJ6PRCPA8R,variant_01KAC0WW6Q3G5GTNH5J9HNJCEW
prod_01KACHNV1D0ZN4RQ1HBJ8R06Y4,bombers,Bombers,draft,http://localhost:9000/static/1763505269785-bombers-1.webp,sc_01KAC0WRXWAQ0A00YJ6PRCPA8R,variant_01KACHNV40Y0SCKYQ0T9WVRKFR
prod_01KACHNV1D0ZN4RQ1HBJ8R06Y4,bombers,Bombers,draft,http://localhost:9000/static/1763505269785-bombers-1.webp,sc_01KAC0WRXWAQ0A00YJ6PRCPA8R,variant_01KACHNV413VGT7PS2YJJSHGFT
prod_01KB18PF8M58QFW81EN9Y1T5ZR,tara-turtle-neck-sweater,Tara Turtle Neck Sweater,published,http://localhost:9000/static/1764200496336-product5.webp,sc_01KAC0WRXWAQ0A00YJ6PRCPA8R,variant_01KB18PFBV32E4PK6AGJYZSZ0C
prod_01KB18PF8M58QFW81EN9Y1T5ZR,tara-turtle-neck-sweater,Tara Turtle Neck Sweater,published,http://localhost:9000/static/1764200496336-product5.webp,sc_01KAC0WRXWAQ0A00YJ6PRCPA8R,variant_01KB18PFBW3BM6A4RJZ61NDK28
prod_01KB18PF8M58QFW81EN9Y1T5ZR,tara-turtle-neck-sweater,Tara Turtle Neck Sweater,published,http://localhost:9000/static/1764200496336-product5.webp,sc_01KAC0WRXWAQ0A00YJ6PRCPA8R,variant_01KB18PFBWAVK44009FWVKRYG8
prod_01KB18PF8M58QFW81EN9Y1T5ZR,tara-turtle-neck-sweater,Tara Turtle Neck Sweater,published,http://localhost:9000/static/1764200496336-product5.webp,sc_01KAC0WRXWAQ0A00YJ6PRCPA8R,variant_01KB18PFBXHH5R01Q4W31TKFTV
prod_01KB18PF8M58QFW81EN9Y1T5ZR,tara-turtle-neck-sweater,Tara Turtle Neck Sweater,published,http://localhost:9000/static/1764200496336-product5.webp,sc_01KAC0WRXWAQ0A00YJ6PRCPA8R,variant_01KB18PFBXWCTK8F6XYEGE6MB2
prod_01KB18PF8M58QFW81EN9Y1T5ZR,tara-turtle-neck-sweater,Tara Turtle Neck Sweater,published,http://localhost:9000/static/1764200496336-product5.webp,sc_01KAC0WRXWAQ0A00YJ6PRCPA8R,variant_01KB18PFBYTN3W8P2ACTEVNRAM
prod_01KB309N52JP92VZ5PZJQK0R1R,neck-sweater,Neck Sweater,published,http://localhost:9000/static/1764258796637-Pasted%20image.png,sc_01KAC0WRXWAQ0A00YJ6PRCPA8R,variant_01KB309N86D1AER4JBCT2PQ3VG
prod_01KB309N52JP92VZ5PZJQK0R1R,neck-sweater,Neck Sweater,published,http://localhost:9000/static/1764258796637-Pasted%20image.png,sc_01KAC0WRXWAQ0A00YJ6PRCPA8R,variant_01KB309N87KKJQZW01QYYY2FRY
prod_01KB309N52JP92VZ5PZJQK0R1R,neck-sweater,Neck Sweater,published,http://localhost:9000/static/1764258796637-Pasted%20image.png,sc_01KAC0WRXWAQ0A00YJ6PRCPA8R,variant_01KB309N87TASNQMGBKR6D8P4F
prod_01KB309N52JP92VZ5PZJQK0R1R,neck-sweater,Neck Sweater,published,http://localhost:9000/static/1764258796637-Pasted%20image.png,sc_01KAC0WRXWAQ0A00YJ6PRCPA8R,variant_01KB309N88K20AWFGAPKX0BCTH
prod_01KB309N52JP92VZ5PZJQK0R1R,neck-sweater,Neck Sweater,published,http://localhost:9000/static/1764258796637-Pasted%20image.png,sc_01KAC0WRXWAQ0A00YJ6PRCPA8R,variant_01KB309N88PQGG5A15FZ89K1VZ
